Location	NumTimesListed
rodman's hollow	21
the maze	10
fresh pond	6
enchanted forest	4
clay head trail	4
turnip farm	3
jones trail	3
middle pond trail	3
mohegan bluffs	3
hyland trail	2
fresh swamp	2
black rock road	2
rodman's hollow in a tree	2
nathan mott park	2
win dodge	2
labyrinth	2
hodges	2
clayhead trail	2
greenway across from rodman's at bench overlook	1
lewis-dickens trail in tall grass	1
bunnell beach	1
on a rock in the water off of spring street	1
beach ave. trails	1
leffredo loop	1
woods pond	1
martin lots under the rock wall	1
grace cove beach- in a log	1
greenway trail entrance lakeside druve	1
ocean view path near ballards	1
trail on beach road	1
in a boot	1
win dodge preserve	1
clay head trail. in between a tree.	1
greenway trail on lakeside dr.	1
dodge preserve	1
mohegan bluffs overlook	1
se lighthouse	1
overlook mohegan	1
cooneymous trail	1
greenway near bench	1
2nd bluffs	1
magellan's tree trail	1
scotch beach path	1
maze in a tree	1
the maze behind stone wall!	1
long lots	1
the greenway between old mill road and cooneymus road in a wall behind a rock.	1
main trail between cooneymus and old mil road on ground in brush	1
greenway trail off beacon hill	1
tree, near enchanted forest	1
rock wall off of fresh pond trail	1
on the hiking path near little sachem pond	1
near fresh pond in long stone wall adjacent to field	1
greenaway trail behind stone wall	1
long lots/the maze	1
fresh pond behind wall at base of tree	1
in a tree near the gazebo	1
beach across from beachhead (maybe baby beach)	1
greenway north of beacon hill	1
mazzur trail	1
marsh hollow entrance-left in bike basket	1
mott nature trail	1
loffredo loop	1
side of trail on fresh pond trail	1
rock wall near fresh pond	1
fresh pond in grass	1
rodman's hollow-on the side of the jones trail	1
fresh pond preserve	1
rodman's hollow short loop	1
rodman hollow side of trail	1
rodman's hollow, near peckham farm	1
entrance to rodman's hollow from fresh pond	1
fresh pond trail heading to rodman's hollow in a grouping of stones	1
rodman's hollow/jones trail	1
rodmans hollow, on the side of the trail	1
in the center of a tree on the greenway trail	1
fresh pond!	1
entering rodham's hollow from trail by lake	1
rodman's hollow: fresh pond trail	1
rodman's hollow behind the bench.	1
roadman's hollow	1
in a tree on the great pond hiking trail	1
fresh pond area	1
pilot hill rd & spring st	1
greenway/rodman's	1
rodmans hollow scenic overlook, searched for 2099 days.	1
dory's cove under stump on the beach	1
greenway off of payne road	1
1661 farm	1
rat island	1
andys way on the beach	1
pilot hill road & mohegan trail	1
long lot trail @ long lot pond	1
lobster pot christmas tree	1
megan's bluff, next to the 2nd tree on the right.	1
inside rusty can, inside hollow tree on beach	1
andys way rock wall	1
old bluffs overlook	1
meadow hill	1
meadow hill under rock	1
clayhead	1
dorrys pathway	1
clayhead trail from corn neck road	1
breed land trail	1
the maze at clayhead	1
maze	1
nathan mott trail	1
lobster pot in the maze	1
rodmans hollow trail	1
clayhead train / the maze	1
nathan mott	1
lewis dickens trail	1
west beach trail	1
black rock trail	1
cooneymus road	1
gift	1
martins trail	1
old mill loop- tree	1
main trail, crossing conneymus	1
lakeshore drive	1
lewis dicken's farm trail	1
across from fresh pond	1
near north lighthouse	1
dickens trail entrance	1
hodge family preserve, re-hid at avonlea for a new found friend to find.	1
north side of clayhead trail!	1
payne's greenway	1
atwood overlook	1
near the entrance of the fresh pond trail	1
old mill trail	1
fresh swamp payne farm trail	1
mansion beach foundation	1
at the base of a bush on lewis dickens farm preserve	1
inside a log	1
between scotch and mansion beach	1
hodge preserve, in the bushes in circle part of trail	1
hodge family wildlife preserve	1
the sacred labyrinth	1
rodman's hollow in the grass	1
mohegan bluff lookout	1
lofreddo loop	1
mott property	1
harrison trail in a tree	1
lewis-dickens farm nature preserve	1
old pet cemetery	1
trail	1
cannon @ legion park	1
dodge cemetery	1
in a tree off of old mill road	1
beach ave trail hanging from a string on a tree by the water	1
martin trails	1
nestled between a piece of driftwood and sea grass at grace's cove	1
in a tree on turnip farm trail	1
trailhead on greenway near cooneymus	1
old mill loop of nathanial mott park	1
beach ave trail	1
gracies cove, in the bike rack	1
window sill in mystic, ct	1
trail on beach rd	1
visitor center	1
trim's pond	1
southeast lighthouse fence post	1
harrison loop	1
marsh hawk hollow	1
old mill loop	1
great salt pond	1
in tree on black rock rd.	1
in the park across the across the power company	1
greenway trail near turnip farm	1
fresh pond in stump	1
payne's overlook	1
hodge preserve trail map stand	1
old mill road	1
cannon at legion park	1
fire department	1
path to clayhead trail	1
hollowed out log on west side beach	1
the beach ?	1
beach avenue trail	1
hodge preserve,in a tree	1
mohegan bluffs stairway	1
west beach road	1
golden grove / settlers rock	1
path near scotch beach	1
hodge preserve trailside	1
west beach, 50m north of the fence end in a hoary mugwort plant	1
beach in front of the national	1
dickens trail	1
southeast lighthouse	1
fred benson town beach in the rocks	1
town fountain	1
south east lighthouse rock	1
indian monument across from hog pen!	1
found on dinghy beach and rehidden.	1
sea breeze inn	1
legion park in a tree	1
path to andy's way	1
new harbor road bridge	1
fence in front of hodge family wildlife preserve	1
scotch beach	1
base of the dunes on the beach at end of clayhead trail	1
tree in front of harbor church	1
greenaway by peter woods house	1
stone wall ocean ave before depot	1
crescent beach (across from oyster store)	1
dinghy beach	1
andy's way path	1
west beach	1
path to scotch beach	1
great salt pond near the channel	1
across the channel from the coast guard station	1
mary macgill store	1
crescent beach between town and scotch	1
path leading to public beach	1
mohegan bluff near overlook	1
rodmans hollow	1
pebbly beach	1
greenway trail	1
beach access trail to old harbor in town	1
spring pond area	1
island cemetery, next to a grave	1
south side of center road on greenway trail	1
vfw park	1
clayhead trail in tree nook!	1
walkers welcome	1
hodge preserve ,in a tree	1
tree in harrison trail	1
tom's point under bench	1
jetty rocks near crescent beach and ferry	1
dinghey beach	1
entrance of path to scotch beach	1
