Location	NumTimesListed	floatType
greenway	34	False
rodman's hollow	24	False
clay head trail	19	False
hodge family wildlife preserve	16	False
fresh pond	13	False
enchanted forest	11	False
greenway trail	9	False
hodge preserve	8	False
elizabeth dickens trail	7	False
turnip farm	7	False
cooneymus beach	6	False
grace's cove	6	False
the maze	6	False
old mill road	5	False
legion park	5	False
north light	5	False
fresh swamp	5	False
mansion beach	4	False
ocean view pavilion	4	False
beacon hill	4	False
andy's way	4	False
harrison trail	4	False
block island chamber of commerce	4	False
hodge property	4	False
mohegan bluffs	4	False
win dodge	4	False
dickens point	4	False
beach ave trail	3	False
cow cove	3	False
west beach	3	False
dorry's cove	3	False
baby beach	3	False
coast guard beach	3	False
southeast light	3	False
greenway	2	True
trail	2	False
martin's point	2	False
beach	2	False
'indian' cemetery	2	False
spring pond	2	False
dodge cemetery	2	False
post office	2	False
nathan mott park	2	False
ball o' brien park	2	False
bi greenway	2	False
spring street	2	False
cannon at legion park	2	False
rodman hollow	2	False
marsh hawk hollow	2	False
airport	2	False
gaffney trail	2	False
hyland trail	2	False
martin trail	1	True
north west dump beach	1	True
harrison trail	1	True
rodman's hollow	1	True
mansion beach	1	True
grace's cove	1	True
hodge family wildlife preserve	1	True
the maze	1	True
payne road greenway	1	True
win dodge	1	True
floating in a duck pond	1	False
attwood overlook	1	False
mosquito beach	1	False
entrance to beach in wall across from beachhead	1	False
peter wood's trail	1	False
new shoreham	1	False
on old mill trail next to cooneymus rd in a stone wall	1	False
rodman's hallow side path	1	False
dorys cove on the sand	1	False
vaill beach	1	False
barlow's point	1	False
??	1	False
beane point	1	False
gracies cove beach	1	False
bic trail off beach ave	1	False
black rock beach	1	False
wooden crate on beach near bluffs	1	False
block rock	1	False
potts and kettel beach	1	False
monument	1	False
wall corner of old mill rd and west side road	1	False
small trail off of cooneymus rd	1	False
short trail near town beach pavilion	1	False
beach ave.trail	1	False
beach trail under tree in bush	1	False
martin trail	1	False
payne overlook	1	False
beach avenue	1	False
bi wildlife refuge trail	1	False
clayhead trail near trail merge	1	False
vail beach/black rock on beach above tide line	1	False
clay head nature trail. left side under the brush	1	False
block island public school	1	False
across from the beach head	1	False
farmer's market	1	False
fish tote on sw corner beach	1	False
dorreys cove in abig pile of clay dirt	1	False
beach s/o dories cove road	1	False
dump beach	1	False
sachem pond	1	False
clayhead trail on log at beach	1	False
charlestown beach	1	False
dump beach- in upright log	1	False
tom's point	1	False
charleston beach near inlet	1	False
block island historical society	1	False
east of fresh water pond	1	False
sacred labyrinth	1	False
lewis-dickens farm	1	False
snake hole rd beach	1	False
mott trail	1	False
trail off of west side road across from peckhams	1	False
wall by peter wood's house	1	False
fred benson town beach	1	False
emily dickens trail/stonewall	1	False
southwest point	1	False
on the ground in the greeenway off of conneymus road	1	False
lewis point	1	False
head of the trail at dickens farm . in the map holder.	1	False
harrison loop	1	False
hodge family preserve trail	1	False
in the grass on louis dickens trail	1	False
meadow hill	1	False
block island	1	False
block island state airport	1	False
library	1	False
beach ave	1	False
the crest of black rock loop	1	False
