originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
bunnell beach	fred benson town beach	86
on a rock in the water off of spring street	black rock beach	86
beach ave. trails	baby beach	86
leffredo loop	loffredo loop	92
woods pond	fresh pond greenway	86
martin lots under the rock wall	black rock beach	86
hyland trail	mohegan trail	72
ocean view path near ballards	ocean view pavilion	86
in a boot	new harbor	53
win dodge preserve	win dodge	90
clay head trail. in between a tree.	clay head trail	90
dodge preserve	hodge family wildlife preserve	86
mohegan bluffs overlook	mohegan bluffs	90
se lighthouse	southeast light	57
overlook mohegan	payne overlook	69
cooneymous trail	cooneymus beach	71
greenway near bench	bi greenway	86
2nd bluffs	mohegan bluffs	71
fresh swamp	fresh swamp	100
scotch beach path	scotch beach	95
maze in a tree	the maze'	86
the maze behind stone wall!	the maze'	90
long lots	great salt pond	50
greenway trail off beacon hill	beacon hill	90
tree, near enchanted forest	enchanted forest	90
the maze	the maze'	100
on the hiking path near little sachem pond	sachem pond	90
greenaway trail behind stone wall	clay head trail	86
long lots/the maze	the maze'	90
in a tree near the gazebo	the maze'	86
turnip farm	turnip farm	100
beach across from beachhead (maybe baby beach)	baby beach	90
greenway north of beacon hill	beacon hill	90
mazzur trail	mohegan trail	64
marsh hollow entrance-left in bike basket	rodman's hollow	86
mott nature trail	mohegan trail	60
loffredo loop	loffredo loop	100
black rock road	black rock beach	77
rodman's hollow	rodman's hollow	100
fresh pond in grass	fresh swamp	86
rodman's hollow-on the side of the jones trail	rodman's hollow	90
fresh pond	fresh pond greenway	90
rodman's hollow in a tree	rodman's hollow	90
fresh pond preserve	fresh swamp	86
rodman's hollow short loop	rodman's hollow	90
rodman hollow side of trail	clay head trail	86
rodman's hollow, near peckham farm	rodman's hollow	90
entrance to rodman's hollow from fresh pond	rodman's hollow	90
fresh pond trail heading to rodman's hollow in a grouping of stones	rodman's hollow	90
rodman's hollow/jones trail	rodman's hollow	90
jones trail	mohegan trail	67
fresh pond!	fresh pond greenway	90
rodman's hollow: fresh pond trail	rodman's hollow	90
rodman's hollow behind the bench.	rodman's hollow	90
roadman's hollow	rodman's hollow	97
fresh pond area	fresh pond greenway	82
pilot hill rd & spring st	beacon hill	86
greenway/rodman's	andy's way	86
rodmans hollow scenic overlook, searched for 2099 days.	payne overlook	86
greenway off of payne road	bi greenway	86
1661 farm	abrams animal farm	86
rat island	block island state airport	86
pilot hill road & mohegan trail	mohegan trail	90
lobster pot christmas tree	balls point	50
andys way rock wall	andy's way	86
old bluffs overlook	payne overlook	69
meadow hill	meadow hill	100
meadow hill under rock	meadow hill	90
clayhead	clay head trail	79
dorrys pathway	andy's way	58
clayhead trail from corn neck road	clay head trail	86
breed land trail	mohegan trail	62
the maze at clayhead	the maze'	90
maze	the maze'	90
nathan mott trail	nathan mott park	79
lobster pot in the maze	the maze'	90
rodmans hollow trail	mohegan trail	86
clayhead train / the maze	the maze'	90
nathan mott	nathan mott park	95
nathan mott park	nathan mott park	100
