originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
new shoreham	new shoreham	100
mazzur trail	dickens farm trail	86
the maze	the maze	100
turnip farm	turnip farm	100
north light	north light	100
greenway trail	greenway trail	100
hodge family wildlife preserve	hodge family wildlife preserve	100
old mill road	old mill road	100
beach avenue	beach avenue	100
rodman's hollow	rodman's hollow	100
clayhead trail	clayhead trail	100
southwest point	southwest point	100
harrison trail	harrison trail	100
enchanted forest	enchanted forest	100
bonnell beach	bonnell beach	100
beacon hollow	beacon hill	83
west beach	west beach	100
meadow hill	meadow hill	100
beach ave	beach ave	100
dorry's cove	dorry's cove	100
greenway	greenway	100
gracie's cove	grace's cove	96
cooneymus beach	cooneymus beach	100
gaffney trail	gaffney trail	100
martin property	martin property	100
mansion beach	mansion beach	100
ocean view pavilion	ocean view pavilion	100
clay head nature trail	clay head trail	95
grace's cove	grace's cove	100
ocean view pavillion	ocean view pavilion	97
clay head trail	clay head trail	100
dinghy beach	dinghy beach	100
nathan mott trail	nathan mott trail	100
legion park	legion park	100
dorry's cove beach	dorry's cove beach	100
cooneymus beac	cooneymus beach	97
andy's way	andy's way	100
nathan mott park	nathan mott park	100
transfer station beach	transfer station beach	100
corn neck road	corn neck road	100
dory's cove	dory's cove	100
mosquito beach	mosquito beach	100
rat island	rat island	100
fresh swamp	fresh swamp	100
dodge cemetery	dodge cemetery	100
payne farm trail	payne farm trail	100
martin trail	martin trail	100
coast guard beach	coast guard beach	100
vaill beach	vaill beach	100
fresh pond	fresh pond	100
sacred labyrinth	sacred labyrinth	100
lewis-dickens farm	lewis-dickens farm	100
secret trail	dickens farm trail	86
clayhead	clayhead trail	90
win dodge	win dodge	100
lewis-dickens farm nature preserve trail	lewis-dickens farm	90
hodge preserve	hodge preserve	100
lewis-dickens farm nature preserve	lewis-dickens farm	90
win dodge preserve	win dodge	90
beach ave trail	beach ave	90
smilin' through	smilin' through	100
jones trail	jones trail	100
black rock road	black rock beach	77
ocean avenue	ocean view pavilion	86
great salt pond	great salt pond	100
ocean ave	ocean view pavilion	86
beacon hill	beacon hill	100
mohegan bluffs	mohegan bluffs	100
clay head	clay head trail	90
maze	the maze	90
ballard's beach	ballard's beach	100
solviken	solviken	100
scotch beach	scotch beach	100
loffredo loop	loffredo loop	100
fred benson town beach	fred benson town beach	100
carey walsh trail	jones trail	86
payne overlook	payne overlook	100
nathan mott	nathan mott park	95
long lot trail	long lot trail	100
attwood overlook	attwood overlook	100
old harbor point	old harbor point	100
middle earth	middle earth	100
clay head trails	clay head trail	97
payne road greenway	payne road greenway	100
fresh swamp preserve	fresh swamp	90
dodge wildlife preserve	dodge cemetery	86
nature preserve	hodge family wildlife preserve	86
dog cemetery	dodge cemetery	92
southwest light	southeast light	93
transfer station	transfer station beach	95
spring street	spring street	100
leffredo loop	loffredo loop	92
woods pond	great salt pond	86
hyland trail	hyland trail	100
near fresh pond	fresh pond	90
dodge preserve	hodge preserve	93
mohegan bluffs overlook	mohegan bluffs	90
southeast light	southeast light	100
overlook mohegan	payne overlook	69
cooneymous trail	mott trail	86
greenway near bench	greenway	90
2nd bluffs	mohegan bluffs	71
scotch beach path	scotch beach	95
maze in a tree	the maze	86
the maze behind stone wall!	the maze	90
long lots	long lot trail	86
greenway trail off beacon hill	beacon hill	90
tree, near enchanted forest	enchanted forest	90
sachem pond	sachem pond	100
greenaway trail behind stone wall	greenaway	90
long lots/the maze	the maze	90
in a tree near the gazebo	the maze	86
baby beach	baby beach	100
greenway north of beacon hill	beacon hill	90
marsh hawk hollow	marsh hawk hollow	100
mott nature trail	jones trail	86
rock wall near fresh pond	fresh pond	90
fresh pond in grass	fresh pond	90
rodman's hollow in a tree	rodman's hollow	90
rodman's hollow short loop	rodman's hollow	90
rodman hollow side of trail	rodman hollow	90
rodman's hollow, near peckham farm	rodman's hollow	90
rodman's hollow/jones trail	jones trail	90
roadman's hollow	rodman's hollow	97
fresh pond area	fresh pond	90
pilot hill road	pilot hill road	100
bi greenway	bi greenway	100
rodmans hollow	rodman's hollow	97
mohegan trail	mohegan trail	100
old bluffs overlook	payne overlook	69
crescent beach	crescent beach	100
breed land trail	mott trail	86
rodman's hollow trail	rodman's hollow	95
black rock beach	black rock beach	100
lewis dickens trail	lewis dickens trail	100
abrams animal farm	abrams animal farm	100
middle pond trail	middle pond	90
meadow hill trail	meadow hill	90
west beach trail	west beach	90
schooner point	spar point	67
east beach	west beach	90
black rock trail	mott trail	86
harrison loop	harrison loop	100
winfield dodge farm	winfield dodge farm	100
rodman hollow	rodman hollow	100
martins trail	martin trail	96
clayhead trail!	clayhead trail	100
fresh pond trail	fresh pond	90
lewis-dickens farm preserve	lewis-dickens farm	90
the sacred labyrinth	sacred labyrinth	95
labyrinth	sacred labyrinth	90
mohegan bluff lookout	mohegan bluffs	86
coast guard station	coast guard station	100
lofreddo loop	loffredo loop	92
mott property	martin property	79
old pet cemetery	dodge cemetery	80
martin trails	martin trail	96
gracies cove	gracies cove	100
visitor center	visitor center	100
trim's pond	trim's pond	100
payne's overlook	payne overlook	95
cannon at legion park	cannon at legion park	100
found in july 2022. in a tree near middle earth.	middle earth	90
fire department	fire department	100
sand by a walkway down from the pizza truck	the maze	86
second bluffs	mohegan bluffs	67
settler's rock	settler's rock	100
dickens trail	dickens farm trail	95
south east lighthouse rock	black rock beach	86
'indian' cemetery	'indian' cemetery	100
dinhgy beach	dinhgy beach	100
new harbor	new harbor	100
greenaway	greenaway	100
beane point	beane point	100
mohegan bluff	mohegan bluffs	96
pebbly beach	block island state beach	86
spring pond	spring pond	100
island cemetery	island cemetery	100
tom's point	tom's point	100
elizabeth dickens trail	elizabeth dickens trail	100
