Location	NumTimesListed
clay head trail	34
rodman's hollow	31
mansion beach	22
enchanted forest	17
scotch beach	15
andy's way	15
bi greenway	14
'the maze'	12
sachern pond	11
black rock	11
hodge family wildlife preserve	10
north light	10
nathan mott park	9
payne farm trail	8
settler's rock	8
beacon hill	8
payne overlook	8
fresh pond greenway	6
turnip farm	6
harrison loop	6
mohegan bluffs	6
mohegan trail	6
great salt pond	5
meadow hill	5
fresh swamp	4
ocean view pavilion	3
loffredo loop	3
southeast light	3
new harbor	2
greenway trail off beach ave	2
in a tree	2
greenway trail off old mill road	1
clayhead trail just after beach entrance	1
bi conservancy trail on beach ave.	1
in rock wall on cooneymus greenaway trail	1
greenway trail near fresh pond	1
payne rd trail in rock wall	1
overlook to fresh pond on lakeside drive	1
win dodge	1
beach avenue greenway, in the brush by the stone wall at trims pond	1
fresh pond trail under the shrubs near the pond	1
crescent beach trail from corn neck rd	1
greenway trail off of old mill rd. next to the horse farm. beneath weeds wrapped around a tree.	1
west beach, west of middle pond under large driftwood 06/04/2015	1
rock at end of clay head beach	1
lewis-dickens farm	1
??	1
